,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
0,GG4,Hybrid,20%,Caryophyllene,66%,54%,51%,39%
1,Wedding Cake,Hybrid,22%,Limonene,60%,50%,41%,35%
2,Runtz,Hybrid,19%,Limonene,47%,62%,48%,43%
3,Gelato,Hybrid,17%,Caryophyllene,54%,49%,46%,37%
4,Blue Dream,Hybrid,18%,Myrcene,48%,57%,52%,48%
5,Purple Punch,Indica,19%,Caryophyllene,70%,47%,40%,26%
6,Ice Cream Cake,Indica,20%,Limonene,75%,50%,42%,29%
7,GSC,Hybrid,19%,Caryophyllene,55%,60%,52%,45%
8,OG Kush,Hybrid,18%,Myrcene,52%,56%,50%,38%
9,Sour Diesel,Sativa,18%,Caryophyllene,0%,57%,49%,50%
10,Zkittlez,Indica,19%,Caryophyllene,54%,39%,30%,27%
11,Sherbert,Hybrid,18%,Caryophyllene,59%,50%,43%,37%
12,Granddaddy Purple,Indica,17%,Myrcene,56%,44%,42%,0%
13,Mimosa,Hybrid,19%,Myrcene,38%,51%,0%,50%
14,Do-Si-Dos,Indica,21%,Limonene,65%,40%,41%,27%
15,Jack Herer,Sativa,17%,Terpinolene,0%,54%,46%,50%
16,White Widow,Hybrid,16%,Myrcene,42%,57%,53%,49%
17,Pineapple Express,Hybrid,18%,Caryophyllene,37%,60%,44%,47%
18,GMO Cookies,Indica,26%,Limonene,70%,46%,48%,34%
19,Green Crack,Sativa,17%,Myrcene,0%,54%,43%,53%
20,Bubba Kush,Indica,17%,Caryophyllene,61%,48%,44%,0%
21,Northern Lights,Indica,16%,Myrcene,60%,51%,48%,31%
22,Durban Poison,Sativa,17%,Terpinolene,0%,49%,44%,54%
23,Sundae Driver,Hybrid,20%,Myrcene,55%,52%,33%,41%
24,MAC,Hybrid,20%,Myrcene,69%,65%,54%,48%
25,Cherry Pie,Hybrid,16%,Myrcene,57%,57%,48%,42%
26,Chemdawg,Hybrid,19%,Caryophyllene,47%,52%,52%,44%
27,Mac 1,Hybrid,21%,Limonene,34%,36%,41%,31%
28,Wedding Crasher,Hybrid,21%,Caryophyllene,56%,57%,39%,45%
29,SFV OG,Hybrid,20%,Myrcene,52%,53%,45%,42%
30,Slurricane,Indica,21%,Limonene,67%,47%,36%,27%
31,Amnesia Haze,Sativa,18%,Myrcene,0%,62%,55%,51%
32,Stardawg,Hybrid,21%,Caryophyllene,52%,60%,47%,47%
33,Strawberry Cough,Sativa,17%,Myrcene,35%,55%,46%,50%
34,Cereal Milk,Hybrid,24%,Caryophyllene,60%,47%,34%,30%
35,Bruce Banner,Hybrid,21%,Myrcene,48%,55%,54%,46%
36,Gushers,Hybrid,23%,Limonene,38%,32%,24%,18%
37,Biscotti,Hybrid,21%,Caryophyllene,55%,44%,30%,24%
38,Lava Cake,Hybrid,17%,Caryophyllene,67%,34%,37%,34%
39,Trainwreck,Hybrid,17%,Myrcene,37%,50%,55%,46%
40,Mendo Breath,Indica,19%,Caryophyllene,75%,51%,43%,28%
41,Cookies and Cream,Hybrid,21%,Caryophyllene,64%,60%,49%,45%
42,Blueberry,Indica,17%,Myrcene,60%,53%,44%,30%
43,AK-47,Hybrid,16%,Myrcene,42%,56%,46%,45%
44,Blue Cookies,Hybrid,19%,Myrcene,74%,61%,57%,41%
45,Zookies,Hybrid,19%,Caryophyllene,69%,56%,41%,45%
46,Kush Mints,Hybrid,27%,Limonene,42%,42%,39%,27%
47,Super Lemon Haze,Sativa,18%,Terpinolene,0%,53%,46%,51%
48,Grease Monkey,Hybrid,21%,Caryophyllene,73%,49%,50%,32%
49,Forbidden Fruit,Indica,14%,Caryophyllene,67%,48%,40%,28%
50,Peanut Butter Breath,Hybrid,19%,Caryophyllene,65%,48%,34%,29%
51,Animal Cookies,Hybrid,18%,Caryophyllene,68%,54%,47%,38%
52,Grape Ape,Indica,17%,Myrcene,57%,46%,41%,26%
53,Strawberry Banana,Hybrid,21%,Limonene,56%,51%,41%,34%
54,White Runtz,Hybrid,18%,Terpinolene,71%,48%,48%,41%
55,Candyland,Sativa,18%,Caryophyllene,44%,61%,49%,53%
56,Gelato #33,Hybrid,19%,Limonene,56%,62%,50%,53%
57,Super Silver Haze,Sativa,18%,Myrcene,0%,58%,53%,57%
58,White Fire OG,Hybrid,21%,Limonene,48%,57%,49%,50%
59,FPOG,Hybrid,18%,Limonene,49%,62%,53%,50%
60,Tahoe OG,Hybrid,18%,Limonene,66%,46%,43%,0%
61,Jet Fuel,Hybrid,20%,Myrcene,48%,52%,44%,48%
62,Platinum Cookies,Hybrid,18%,Caryophyllene,66%,57%,52%,45%
63,Lemon Haze,Sativa,19%,Myrcene,39%,64%,50%,52%
64,Alien OG,Hybrid,18%,Myrcene,60%,54%,54%,44%
65,Birthday Cake,Hybrid,20%,Caryophyllene,65%,51%,42%,30%
66,Bubble Gum,Hybrid,17%,Myrcene,47%,60%,51%,42%
67,Platinum OG,Indica,19%,Myrcene,69%,43%,48%,0%
68,Apple Fritter,Hybrid,25%,Limonene,67%,55%,42%,37%
69,Blue Cheese,Indica,17%,Myrcene,59%,52%,49%,34%
70,Gary Payton,Hybrid,15%,Caryophyllene,77%,62%,51%,44%
71,Thin Mint GSC,Hybrid,18%,Caryophyllene,63%,56%,52%,48%
72,Tropicana Cookies,Sativa,16%,Caryophyllene,30%,52%,37%,47%
73,King Louis,Indica,21%,Limonene,60%,34%,31%,0%
74,Pound Cake,Hybrid,17%,Myrcene,54%,35%,40%,24%
75,Tangie,Sativa,17%,Myrcene,0%,48%,37%,45%
76,Platinum Kush,Indica,18%,Caryophyllene,68%,52%,49%,0%
77,Cookies Kush,Indica,17%,Myrcene,73%,53%,45%,0%
78,Venom OG,Hybrid,19%,Myrcene,70%,49%,41%,34%
79,Purple Haze,Sativa,16%,Myrcene,40%,58%,57%,50%
80,Gelato #41,Hybrid,24%,Limonene,64%,48%,41%,30%
81,Maui Wowie,Sativa,17%,Myrcene,0%,59%,47%,53%
82,Motorbreath,Hybrid,25%,Caryophyllene,60%,52%,64%,41%
83,Black Diamond,Indica,17%,Myrcene,73%,62%,49%,39%
84,Purple Kush,Indica,17%,Myrcene,58%,52%,46%,0%
85,Mango Kush,Hybrid,19%,Myrcene,48%,60%,45%,39%
86,Headband,Hybrid,19%,Myrcene,44%,53%,52%,46%
87,Fire OG,Hybrid,19%,Myrcene,53%,51%,49%,39%
88,White Rhino,Indica,17%,Myrcene,54%,49%,46%,31%
89,Superglue,Hybrid,20%,Caryophyllene,73%,58%,51%,43%
90,Pink Runtz,Hybrid,16%,Ocimene,47%,50%,31%,34%
91,Banana Kush,Hybrid,18%,Myrcene,47%,45%,41%,35%
92,Orange Cookies,Hybrid,18%,Terpinolene,57%,52%,42%,41%
93,Ice Cream,Hybrid,18%,Myrcene,56%,53%,47%,45%
94,Mandarin Cookies,Hybrid,19%,Myrcene,60%,53%,45%,53%
95,Cheetah Piss,Hybrid,20%,Caryophyllene,55%,37%,48%,37%
96,G13,Indica,19%,Myrcene,54%,54%,56%,37%
97,Mazar x Blueberry OG,Hybrid,19%,Myrcene,66%,54%,48%,38%
98,Ghost Train Haze,Sativa,18%,Terpinolene,0%,54%,46%,50%
99,Alaskan Thunder Fuck,Sativa,16%,Myrcene,0%,56%,53%,50%
100,Blueberry Muffin,Hybrid,18%,Caryophyllene,68%,50%,49%,40%
101,Platinum Bubba Kush,Indica,15%,Caryophyllene,71%,55%,48%,0%
102,Master Kush,Indica,18%,Caryophyllene,61%,49%,48%,35%
103,Gorilla Cookies,Hybrid,20%,Caryophyllene,71%,57%,49%,40%
104,Berry White,Indica,17%,Limonene,61%,56%,51%,43%
105,Cinderella 99,Hybrid,16%,Caryophyllene,0%,58%,52%,52%
106,LA Kush Cake,Hybrid,24%,Limonene,66%,0%,47%,28%
107,Papaya,Indica,15%,Myrcene,65%,53%,39%,35%
108,Cheese,Hybrid,16%,Myrcene,53%,55%,48%,38%
109,Lemon Cake,Sativa,21%,Myrcene,38%,48%,34%,46%
110,Kosher Kush,Indica,20%,Myrcene,65%,44%,41%,0%
111,Khalifa Kush,Hybrid,20%,Myrcene,59%,63%,51%,50%
112,Dolato,Indica,19%,Limonene,58%,41%,41%,25%
113,Pink Kush,Hybrid,19%,Myrcene,74%,57%,45%,34%
114,Lemon Kush,Hybrid,19%,Myrcene,49%,60%,48%,49%
115,Purple Urkle,Indica,16%,Myrcene,63%,44%,42%,0%
116,9 lb Hammer,Indica,18%,Myrcene,65%,32%,33%,0%
117,Jungle Cake,Hybrid,21%,Myrcene,36%,50%,36%,40%
118,LA Confidential,Indica,17%,Myrcene,58%,49%,47%,33%
119,Larry OG,Hybrid,18%,Myrcene,58%,54%,41%,41%
120,Lemon Skunk,Hybrid,18%,Myrcene,42%,61%,49%,51%
121,Ghost OG,Hybrid,18%,Myrcene,64%,50%,40%,32%
122,God's Gift,Indica,17%,Myrcene,61%,51%,44%,32%
123,Blackberry Kush,Indica,16%,Myrcene,56%,45%,41%,0%
124,Death Star,Indica,20%,Caryophyllene,67%,49%,54%,32%
125,Gelatti,Hybrid,20%,Ocimene,57%,63%,57%,36%
126,Critical Kush,Indica,18%,Myrcene,78%,54%,41%,30%
127,LSD,Hybrid,16%,Limonene,49%,60%,63%,51%
128,Golden Goat,Hybrid,19%,Caryophyllene,40%,59%,52%,53%
129,Harlequin,Sativa,8%,Myrcene,53%,43%,0%,40%
130,Banana OG,Hybrid,22%,Limonene,53%,38%,43%,27%
131,Hindu Kush,Indica,18%,Caryophyllene,62%,46%,46%,30%
132,Platinum Purple Kush,Indica,24%,Caryophyllene,70%,47%,48%,0%
133,Lemon OG,Hybrid,19%,Caryophyllene,58%,46%,42%,36%
134,Wedding Pie,Hybrid,26%,Myrcene,55%,66%,33%,27%
135,True OG,Indica,19%,Myrcene,64%,52%,49%,33%
136,White Tahoe Cookies,Indica,20%,Caryophyllene,74%,50%,36%,23%
137,Acapulco Gold,Sativa,19%,Myrcene,0%,58%,47%,53%
138,Skunk 1,Hybrid,16%,Myrcene,43%,58%,52%,40%
139,Chocolope,Sativa,16%,Myrcene,0%,59%,47%,58%
140,Triangle Kush,Indica,20%,Myrcene,68%,49%,49%,33%
141,Afghani,Indica,16%,Myrcene,63%,41%,42%,0%
142,Sour Tangie,Sativa,18%,Myrcene,0%,53%,41%,51%
143,Blue Diesel,Hybrid,17%,Myrcene,59%,59%,53%,51%
144,Clementine,Sativa,16%,Terpinolene,28%,48%,31%,41%
145,Animal Mints,Hybrid,23%,Myrcene,73%,56%,50%,43%
146,Banana Punch,Hybrid,20%,Limonene,54%,48%,35%,32%
147,Billy Kimber,Hybrid,23%,Myrcene,54%,45%,45%,29%
148,Orange Creamsicle,Hybrid,18%,Myrcene,51%,62%,37%,54%
149,Watermelon,Indica,21%,Limonene,50%,36%,25%,0%
150,Silver Haze,Sativa,22%,Myrcene,37%,59%,49%,51%
151,Haze,Sativa,16%,Myrcene,0%,59%,50%,52%
152,Amnesia,Sativa,17%,Caryophyllene,44%,60%,48%,43%
153,XXX OG,Indica,20%,Limonene,68%,45%,44%,29%
154,Key Lime Pie,Hybrid,18%,Caryophyllene,55%,55%,38%,39%
155,Black Jack,Hybrid,18%,Terpinolene,60%,53%,42%,45%
156,Afghan Kush,Indica,16%,Myrcene,49%,44%,42%,0%
157,Kandy Kush,Hybrid,18%,Caryophyllene,56%,59%,48%,47%
158,Black Mamba,Indica,20%,Limonene,67%,44%,42%,29%
159,Gelato Cake,Hybrid,21%,Limonene,60%,45%,30%,0%
160,Tangerine Dream,Hybrid,17%,Caryophyllene,49%,64%,52%,54%
161,Mochi,Hybrid,10%,Myrcene,70%,33%,27%,29%
162,Garanimals,Indica,23%,Limonene,59%,27%,27%,0%
163,Super Skunk,Indica,15%,Myrcene,62%,54%,46%,32%
164,Sour OG,Hybrid,20%,Myrcene,55%,60%,48%,45%
165,OGKB,Hybrid,24%,Caryophyllene,66%,51%,40%,0%
166,Monster Cookies,Indica,18%,Caryophyllene,79%,58%,50%,31%
167,ACDC,Hybrid,14%,Myrcene,61%,38%,0%,34%
168,NYC Diesel,Hybrid,18%,Myrcene,42%,59%,52%,52%
169,Fruit Punch,Sativa,17%,Myrcene,0%,62%,51%,50%
170,Duct Tape,Hybrid,24%,Limonene,65%,57%,50%,29%
171,Dutch Treat,Hybrid,19%,Terpinolene,50%,52%,54%,46%
172,Pineapple Upside Down Cake,Hybrid,20%,Terpinolene,52%,61%,49%,42%
173,Pink Lemonade,Hybrid,17%,Pinene,39%,55%,0%,45%
174,Critical Mass,Indica,18%,Myrcene,69%,47%,37%,30%
175,Diamond OG,Indica,18%,Pinene,60%,41%,43%,0%
176,Limoncello,Hybrid,17%,Pinene,48%,69%,54%,33%
177,24k Gold,Hybrid,20%,Limonene,61%,55%,41%,44%
178,Super Sour Diesel,Sativa,22%,Limonene,0%,49%,53%,48%
179,Cotton Candy,Hybrid,17%,Myrcene,54%,57%,52%,41%
180,Gorilla Cake,Hybrid,20%,Pinene,44%,55%,44%,44%
181,Watermelon Zkittlez,Indica,25%,Limonene,54%,30%,33%,24%
182,The White,Hybrid,21%,Caryophyllene,63%,53%,52%,37%
183,Member Berry,Hybrid,19%,Myrcene,62%,54%,50%,39%
184,Agent Orange,Hybrid,15%,Myrcene,41%,59%,40%,53%
185,MK Ultra,Indica,19%,Myrcene,68%,48%,47%,0%
186,Orange Crush,Hybrid,18%,Myrcene,37%,63%,49%,50%
187,Vanilla Frosting,Hybrid,21%,Myrcene,47%,47%,39%,39%
188,Rainbow,Hybrid,18%,Myrcene,44%,48%,41%,38%
189,Obama Kush,Indica,18%,Caryophyllene,69%,54%,48%,36%
190,Blue Zkittlez,Indica,15%,Pinene,59%,45%,28%,27%
191,White 99,Hybrid,23%,Limonene,49%,45%,50%,45%
192,Snowman,Hybrid,20%,Myrcene,62%,50%,0%,0%
193,Cherry Punch,Hybrid,20%,Limonene,50%,55%,38%,0%
194,XJ-13,Hybrid,17%,Terpinolene,0%,59%,50%,52%
195,El Jefe,Indica,19%,Limonene,75%,37%,55%,0%
196,Blackberry,Hybrid,17%,Caryophyllene,51%,48%,46%,32%
197,Peyote Cookies,Indica,17%,Pinene,77%,43%,45%,35%
198,Lamb's Bread,Sativa,17%,Myrcene,0%,60%,53%,58%
199,Island Sweet Skunk,Sativa,16%,Myrcene,0%,54%,45%,51%
200,Guava,Sativa,19%,Caryophyllene,23%,38%,0%,38%
201,Jager,Indica,19%,Limonene,82%,60%,48%,37%
202,Lemon Meringue,Sativa,21%,Terpinolene,0%,55%,0%,53%
203,Sensi Star,Indica,17%,Myrcene,61%,47%,44%,32%
204,White Gold,Hybrid,20%,Myrcene,66%,60%,51%,50%
205,Blueberry Kush,Indica,18%,Myrcene,58%,48%,43%,33%
206,OG #18,Hybrid,21%,Limonene,67%,49%,47%,27%
207,Moby Dick,Sativa,17%,Terpinolene,44%,53%,58%,52%
208,Cookie Dawg,Hybrid,23%,Myrcene,55%,50%,55%,0%
209,Holy Grail Kush,Hybrid,20%,Limonene,66%,59%,52%,44%
210,Mango,Indica,17%,Pinene,55%,55%,43%,30%
211,Jillybean,Hybrid,16%,Myrcene,0%,62%,52%,54%
212,Alien Cookies,Hybrid,19%,Myrcene,72%,55%,38%,38%
213,Apple Jack,Hybrid,18%,Terpinolene,28%,33%,22%,29%
214,Grape Pie,Hybrid,21%,Myrcene,53%,66%,53%,53%
215,Blueberry Headband,Hybrid,18%,Myrcene,51%,56%,47%,47%
216,Lemon Tree,Hybrid,19%,Myrcene,59%,56%,38%,39%
217,Juicy Fruit,Hybrid,16%,Myrcene,41%,62%,53%,49%
218,Orange Kush,Indica,17%,Myrcene,59%,49%,44%,0%
219,Grapefruit,Sativa,16%,Myrcene,0%,63%,42%,56%
220,Rockstar,Indica,18%,Caryophyllene,77%,48%,46%,36%
221,Lilac Diesel,Hybrid,22%,Terpinolene,50%,50%,40%,47%
222,White Russian,Hybrid,18%,Myrcene,44%,56%,52%,50%
223,Pink Rozay,Indica,22%,Myrcene,50%,37%,50%,0%
224,Garlic,Indica,21%,Caryophyllene,59%,59%,40%,31%
225,Cali Kush,Hybrid,20%,Myrcene,68%,49%,42%,42%
226,White Buffalo,Sativa,19%,Caryophyllene,44%,54%,57%,55%
227,Ice,Hybrid,17%,Myrcene,53%,53%,52%,41%
228,Space Cake,Hybrid,18%,Caryophyllene,42%,60%,0%,67%
229,Strawberry Shortcake,Indica,18%,Caryophyllene,28%,21%,19%,0%
230,Big Bud,Indica,15%,Myrcene,59%,46%,36%,0%
231,Gorilla Zkittlez,Hybrid,20%,Caryophyllene,69%,61%,38%,38%
232,Sunshine,Sativa,23%,Myrcene,0%,77%,50%,73%
233,Pineapple,Hybrid,17%,Myrcene,38%,59%,47%,44%
234,Cannatonic,Hybrid,9%,Myrcene,68%,42%,23%,36%
235,Pink Cookies,Hybrid,20%,Caryophyllene,68%,58%,54%,36%
236,Strawberry Kush,Hybrid,14%,Myrcene,53%,56%,50%,41%
237,Strawberry Cheesecake,Indica,16%,Limonene,58%,56%,50%,43%
238,Mango Haze,Sativa,18%,Myrcene,48%,59%,46%,51%
239,Lemon Diesel,Hybrid,16%,Myrcene,43%,57%,54%,50%
240,Jack Frost,Hybrid,17%,Terpinolene,45%,61%,65%,55%
241,Legend OG,Indica,22%,Limonene,66%,34%,31%,0%
242,Sour Apple,Hybrid,18%,Myrcene,54%,53%,46%,34%
243,Hawaiian,Sativa,21%,Caryophyllene,50%,71%,45%,52%
244,Pre-98 Bubba Kush,Indica,16%,Caryophyllene,67%,50%,42%,0%
245,SFV OG Kush,Indica,17%,Myrcene,74%,46%,59%,0%
246,Black Domina,Indica,18%,Caryophyllene,60%,48%,45%,0%
247,Mendocino Purps,Hybrid,13%,Myrcene,58%,59%,54%,36%
248,Deadhead OG,Hybrid,20%,Caryophyllene,53%,55%,52%,44%
249,Cookie Dough,Hybrid,20%,Caryophyllene,68%,50%,47%,42%
250,Gelato 45,Hybrid,21%,Caryophyllene,75%,0%,50%,25%
251,Pink Panties,Indica,16%,Myrcene,68%,28%,31%,0%
252,Space Queen,Hybrid,15%,Myrcene,41%,59%,55%,55%
253,Blackwater,Indica,18%,Myrcene,79%,43%,42%,0%
254,Blueberry Cookies,Hybrid,16%,Myrcene,65%,45%,50%,45%
255,Lucky Charms,Hybrid,23%,Caryophyllene,58%,62%,45%,50%
256,Sunset,Indica,17%,Caryophyllene,73%,26%,22%,0%
257,Magic Melon,Hybrid,21%,Limonene,46%,38%,0%,38%
258,Godfather OG,Indica,16%,Myrcene,80%,50%,44%,0%
259,Donkey Butter,Indica,18%,Caryophyllene,68%,60%,32%,30%
260,Cake Batter,Hybrid,22%,Caryophyllene,60%,80%,80%,0%
261,Papaya Punch,Hybrid,20%,Limonene,22%,50%,33%,0%
262,Kimbo Kush,Hybrid,18%,Myrcene,67%,52%,39%,32%
263,Laughing Buddha,Sativa,20%,Myrcene,0%,64%,48%,60%
264,Goji OG,Hybrid,19%,Limonene,48%,50%,39%,41%
265,Purple Cookies,Hybrid,17%,Caryophyllene,50%,16%,0%,0%
266,Face Off OG,Indica,19%,Myrcene,71%,51%,55%,24%
267,Purple Trainwreck,Hybrid,16%,Terpinolene,51%,53%,57%,44%
268,Layer Cake,Hybrid,21%,Limonene,40%,27%,35%,22%
269,Lavender Jones,Hybrid,21%,Myrcene,69%,52%,44%,30%
270,Pineapple Chunk,Hybrid,18%,Myrcene,60%,60%,50%,47%
271,Strawberry Diesel,Hybrid,16%,Myrcene,46%,63%,46%,51%
272,God Bud,Indica,16%,Myrcene,66%,49%,46%,30%
273,Sugar Cookie,Hybrid,21%,Caryophyllene,66%,50%,36%,35%
274,Sour Kush,Hybrid,19%,Myrcene,56%,58%,49%,52%
275,Snowcap,Hybrid,16%,Pinene,0%,54%,47%,54%
276,Sour Grapes,Hybrid,16%,Myrcene,53%,60%,53%,50%
277,Dream Queen,Hybrid,16%,Myrcene,47%,52%,50%,53%
278,Platinum Punch,Hybrid,22%,Terpinolene,45%,36%,0%,18%
279,Pineapple Kush,Hybrid,17%,Myrcene,48%,60%,46%,45%
280,UK Cheese,Hybrid,18%,Myrcene,52%,58%,47%,45%
281,Sherbacio,Hybrid,17%,Limonene,60%,70%,70%,60%
282,Alien Dawg,Indica,17%,Myrcene,65%,50%,52%,38%
283,Black Widow,Hybrid,17%,Terpinolene,52%,54%,45%,37%
284,I-95,Hybrid,20%,Limonene,41%,34%,41%,27%
285,Doc’s OG,Hybrid,17%,Caryophyllene,75%,55%,65%,40%
286,Dogwalker OG,Hybrid,22%,Limonene,58%,44%,41%,32%
287,Fatso,Indica,27%,Limonene,57%,42%,0%,42%
288,THC Bomb,Hybrid,18%,Caryophyllene,53%,51%,45%,35%
289,Cat Piss,Sativa,18%,Myrcene,0%,51%,45%,50%
290,Guava Dawg,Hybrid,18%,Caryophyllene,60%,0%,0%,0%
291,Romulan,Indica,16%,Myrcene,55%,43%,43%,0%
292,OG Chem,Hybrid,21%,Myrcene,46%,59%,56%,52%
293,California Orange,Hybrid,12%,Myrcene,40%,55%,43%,44%
294,Power Plant,Sativa,15%,Myrcene,0%,54%,53%,51%
295,Sweet Tooth,Indica,18%,Myrcene,55%,60%,53%,42%
296,Strawberry Lemonade,Sativa,18%,Myrcene,39%,47%,32%,39%
297,Wookies,Hybrid,20%,Caryophyllene,69%,52%,33%,30%
298,White Cookies,Hybrid,22%,Myrcene,72%,44%,44%,31%
299,Lemonnade,Hybrid,18%,Caryophyllene,45%,36%,0%,27%
300,Triangle Mints,Hybrid,29%,Limonene,42%,0%,0%,42%
301,Mint Chocolate Chip,Hybrid,20%,Limonene,63%,66%,41%,38%
302,Oreoz,Hybrid,23%,Terpinolene,0%,33%,0%,0%
303,Lavender,Indica,17%,Myrcene,58%,44%,41%,32%
304,Purple Sunset,Indica,17%,Limonene,70%,40%,40%,33%
305,Hippie Crippler,Hybrid,18%,Myrcene,44%,74%,48%,57%
306,Purple Gorilla,Hybrid,18%,Caryophyllene,63%,48%,45%,34%
307,Blue Gelato,Hybrid,17%,Pinene,40%,40%,40%,40%
308,Chronic,Hybrid,15%,Myrcene,42%,66%,38%,40%
309,Strawberry,Sativa,14%,Myrcene,37%,56%,42%,49%
310,GG5,Hybrid,19%,Caryophyllene,80%,53%,50%,37%
311,Sour Banana Sherbet,Hybrid,19%,Myrcene,56%,56%,49%,45%
312,Gummy Bears,Hybrid,20%,Myrcene,54%,48%,38%,32%
313,Incredible Hulk,Sativa,16%,Myrcene,0%,49%,51%,51%
314,Red Dragon,Hybrid,18%,Myrcene,38%,58%,49%,51%
315,Chernobyl,Hybrid,18%,Myrcene,41%,54%,48%,50%
316,Animal Face,Hybrid,21%,Caryophyllene,70%,60%,50%,40%
317,Great White Shark,Sativa,15%,Myrcene,46%,59%,45%,45%
318,Purple OG Kush,Indica,16%,Limonene,66%,49%,45%,0%
319,Cake Mix,Hybrid,27%,Caryophyllene,0%,28%,0%,14%
320,Thai,Sativa,19%,Myrcene,51%,59%,0%,45%
321,Cherry Diesel,Hybrid,21%,Caryophyllene,57%,53%,50%,40%
322,Bubba Fett,Hybrid,17%,Myrcene,30%,15%,23%,0%
323,OG Cookies,Hybrid,21%,Caryophyllene,33%,22%,44%,44%
324,Cherry Bomb,Hybrid,18%,Pinene,46%,65%,0%,53%
325,Bio-Jesus,Hybrid,26%,Myrcene,55%,38%,38%,0%
326,Orange Sherbert,Hybrid,18%,Caryophyllene,40%,53%,0%,33%
327,Wookie,Hybrid,17%,Caryophyllene,75%,58%,51%,37%
328,Sour Cookies,Hybrid,21%,Caryophyllene,59%,56%,43%,49%
329,Blueberry Pie,Hybrid,19%,Caryophyllene,69%,57%,40%,47%
330,Presidential OG,Indica,18%,Myrcene,70%,44%,31%,25%
331,Hash Plant,Indica,17%,Myrcene,61%,48%,41%,0%
332,Black Cherry Soda,Hybrid,18%,Limonene,64%,54%,45%,38%
333,SPK,Sativa,18%,Caryophyllene,50%,43%,0%,31%
334,Pink Starburst,Hybrid,22%,Limonene,38%,33%,42%,47%
335,Headbanger,Hybrid,21%,Myrcene,50%,54%,60%,49%
336,Elmer's Glue,Hybrid,21%,Caryophyllene,80%,39%,0%,43%
337,Purple Diesel,Hybrid,14%,Myrcene,39%,58%,52%,46%
338,King Tut,Sativa,19%,Myrcene,0%,62%,45%,57%
339,Wappa,Hybrid,22%,Myrcene,72%,57%,37%,34%
340,Bubblegum Kush,Indica,16%,Myrcene,66%,58%,45%,34%
341,Grape Soda,Hybrid,17%,Myrcene,81%,65%,37%,18%
342,Golden Pineapple,Hybrid,19%,Terpinolene,44%,61%,52%,52%
343,Strawberry Haze,Sativa,15%,Myrcene,0%,53%,50%,53%
344,Dosi Punch,Indica,22%,Terpinolene,62%,37%,50%,31%
345,Purple Bubba,Indica,18%,Limonene,66%,50%,0%,0%
346,Chem 4,Hybrid,18%,Myrcene,52%,48%,49%,39%
347,OG Shark,Hybrid,20%,Myrcene,68%,66%,47%,47%
348,Vanilla Kush,Indica,18%,Myrcene,63%,46%,46%,29%
349,Rainbow Sherbet,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
350,Rainmaker,Hybrid,20%,Myrcene,57%,42%,21%,21%
351,Alien Rock Candy,Hybrid,19%,Limonene,69%,56%,54%,36%
352,RudeBoi OG,Hybrid,20%,Caryophyllene,67%,52%,43%,41%
353,Star Killer,Indica,21%,Caryophyllene,74%,46%,46%,28%
354,Shishkaberry,Indica,16%,Myrcene,62%,54%,43%,37%
355,Orange Bud,Hybrid,19%,Myrcene,0%,62%,50%,43%
356,Pink Champagne,Indica,20%,Caryophyllene,75%,50%,47%,33%
357,Mob Boss,Hybrid,21%,Pinene,54%,62%,49%,45%
358,Paris OG,Indica,21%,Limonene,64%,38%,35%,25%
359,Sour Tsunami,Hybrid,12%,Myrcene,67%,40%,21%,30%
360,G13 Haze,Hybrid,15%,Myrcene,47%,63%,64%,47%
361,Bubba OG,Indica,17%,Limonene,67%,50%,40%,0%
362,ECSD,Sativa,19%,Caryophyllene,0%,54%,50%,46%
363,Black D.O.G.,Indica,18%,Caryophyllene,75%,48%,34%,23%
364,Nuken,Indica,20%,Myrcene,75%,54%,47%,39%
365,Charlotte's Web,Sativa,13%,Myrcene,53%,40%,0%,42%
366,King's Kush,Indica,20%,Limonene,57%,51%,52%,35%
367,Berry Pie,Sativa,21%,Limonene,20%,20%,0%,20%
368,Mr. Nice Guy,Indica,17%,Caryophyllene,57%,49%,48%,35%
369,Blueberry Cheesecake,Hybrid,18%,Myrcene,57%,60%,48%,42%
370,Liberty Haze,Hybrid,20%,Myrcene,52%,61%,46%,46%
371,Triple Chocolate Chip,Hybrid,22%,Caryophyllene,76%,38%,52%,0%
372,Cannalope Haze,Sativa,16%,Myrcene,0%,52%,42%,52%
373,Collins Ave,Hybrid,21%,Caryophyllene,20%,20%,0%,20%
374,Purple Panty Dropper,Indica,17%,Myrcene,67%,41%,51%,0%
375,Lemon Cookies,Hybrid,20%,Limonene,52%,57%,57%,63%
376,Cherry Cookies,Hybrid,16%,Myrcene,56%,68%,44%,60%
377,Jack the Ripper,Sativa,17%,Terpinolene,0%,53%,46%,50%
378,Sour Space Candy,Hybrid,15%,Myrcene,68%,51%,31%,62%
379,Mandarin Sunset,Indica,18%,Myrcene,77%,59%,44%,29%
380,White Diesel,Hybrid,18%,Myrcene,53%,0%,43%,43%
381,Jean Guy,Hybrid,14%,Terpinolene,0%,61%,56%,55%
382,Guava Kush,Hybrid,18%,Myrcene,67%,54%,37%,40%
383,Sour Dubb,Hybrid,20%,Myrcene,52%,52%,52%,47%
384,Rollex OG Kush,Indica,17%,Myrcene,74%,53%,35%,43%
385,Black Cherry OG,Indica,16%,Myrcene,73%,54%,45%,35%
