,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
1621,F 13,Hybrid,24%,Limonene,100%,100%,0%,100%
1622,Electric Lemon G,Sativa,16%,Myrcene,47%,0%,44%,38%
1623,Hippie Chicken,Sativa,21%,Pinene,0%,37%,51%,31%
1624,Orange Kush Breath,Hybrid,20%,Caryophyllene,42%,42%,42%,42%
1625,Horchata,Hybrid,19%,Myrcene,0%,0%,0%,0%
1626,The Cube,Hybrid,18%,Myrcene,100%,100%,100%,0%
1627,Blue Dynamite,Indica,11%,Myrcene,62%,53%,50%,0%
1628,OG Ringo,Hybrid,19%,Myrcene,56%,56%,50%,43%
1629,Superstar,Hybrid,20%,Terpinolene,72%,45%,72%,72%
1630,Fire Dawg,Hybrid,12%,Caryophyllene,0%,0%,0%,0%
1631,SleeStack,Sativa,15%,Terpinolene,39%,34%,34%,39%
1632,Fruity Juice,Hybrid,17%,Myrcene,0%,0%,0%,33%
1633,Sweet Pink,Hybrid,20%,Myrcene,50%,50%,50%,50%
1634,Old Dirty Biker,Hybrid,23%,Terpinolene,100%,50%,0%,0%
1635,Lemon Fire,Hybrid,20%,Myrcene,50%,50%,50%,37%
1636,Sweet Cindy,Hybrid,25%,Ocimene,0%,0%,0%,0%
1637,Wookie’s Cookies,Hybrid,16%,Caryophyllene,0%,0%,33%,33%
1638,Purple Paralysis,Hybrid,17%,Myrcene,72%,36%,40%,27%
1639,Truffula Tree,Hybrid,18%,Caryophyllene,33%,66%,66%,66%
1640,Space Dawg,Indica,16%,Limonene,60%,42%,65%,55%
1641,Fire Alien Strawberry,Hybrid,22%,Myrcene,33%,33%,0%,33%
1642,White Siberian,Hybrid,16%,Caryophyllene,72%,55%,62%,41%
1643,Jimi Hendrix,Hybrid,17%,Pinene,0%,36%,54%,54%
1644,Carnival,Sativa,16%,Terpinolene,0%,50%,50%,66%
1645,Magnum PI,Sativa,18%,Limonene,0%,56%,0%,87%
1646,Tranquil Elephantizer: Remix,Indica,18%,Myrcene,79%,0%,27%,20%
1647,Ms. Universe,Hybrid,11%,Caryophyllene,0%,75%,75%,50%
1648,Strawberry Blue,Sativa,15%,Pinene,33%,64%,48%,41%
1649,Purple Goat,Hybrid,15%,Myrcene,80%,100%,0%,80%
1650,Hawaiian Fire,Hybrid,19%,Myrcene,0%,63%,59%,59%
1651,Sticky Lemons,Hybrid,15%,Limonene,100%,100%,0%,100%
1652,PTSD,Hybrid,10%,Myrcene,0%,0%,0%,0%
1653,Milk Bone,Hybrid,23%,Limonene,0%,0%,0%,0%
1654,Skydog,Indica,20%,Myrcene,55%,55%,44%,50%
1655,Dinachem,Hybrid,20%,Myrcene,75%,75%,50%,50%
1656,Jack Wreck,Sativa,15%,Terpinolene,41%,0%,58%,66%
1657,Dream Beaver,Sativa,20%,Myrcene,0%,73%,52%,55%
1658,Guava Chem,Hybrid,22%,Myrcene,53%,70%,0%,43%
1659,King's Bread,Sativa,18%,Myrcene,0%,50%,68%,63%
1660,Dawg's Waltz,Hybrid,24%,Myrcene,71%,57%,57%,0%
1661,CSG,Hybrid,23%,Myrcene,66%,33%,66%,100%
1662,Jacked-Up,Hybrid,19%,Terpinolene,0%,50%,0%,55%
1663,Big Sur Holy Weed,Sativa,19%,Myrcene,45%,63%,45%,59%
1664,Cheeseburger,Hybrid,17%,Terpinolene,42%,28%,0%,57%
1665,Blueberry Frost,Hybrid,17%,Pinene,0%,0%,0%,0%
1666,Purple Roze,Hybrid,20%,Myrcene,0%,0%,0%,0%
1667,Berry Blossom,Hybrid,14%,Terpinolene,0%,0%,0%,0%
1668,Citrus Rush,Hybrid,18%,Myrcene,0%,25%,0%,50%
1669,Black Bubba,Indica,13%,Terpinolene,82%,29%,29%,0%
1670,Frank's Gift,Hybrid,11%,Myrcene,55%,41%,0%,29%
1671,Blue Kripple,Indica,14%,Myrcene,60%,40%,50%,0%
1672,Belladonna,Hybrid,18%,Myrcene,33%,42%,52%,33%
1673,Stella Blue,Sativa,21%,Limonene,61%,92%,38%,69%
1674,Sour D*OG,Hybrid,18%,Caryophyllene,0%,0%,0%,0%
1675,Black Lotus,Hybrid,22%,Caryophyllene,100%,100%,100%,0%
1676,Dawgfather OG,Hybrid,16%,Caryophyllene,50%,0%,25%,0%
1677,Pineapple Sage,Sativa,21%,Terpinolene,0%,90%,0%,90%
1678,Tangerine Trainwreck Haze,Sativa,19%,Myrcene,0%,50%,50%,50%
1679,Blueberry Triple OG,Indica,16%,Myrcene,100%,66%,0%,66%
1680,Zelda,Hybrid,19%,Caryophyllene,58%,33%,25%,25%
1681,Gobbilygoo,Indica,17%,Caryophyllene,55%,66%,77%,0%
1682,Grimmdica,Indica,19%,Myrcene,78%,35%,42%,14%
1683,Schrom,Sativa,18%,Terpinolene,61%,61%,0%,61%
1684,Peyote Wifi,Hybrid,22%,Myrcene,0%,0%,0%,0%
1685,Tina Danza,Hybrid,18%,Myrcene,70%,45%,41%,25%
1686,Bubba x Skunk,Hybrid,21%,Limonene,83%,50%,50%,0%
1687,Blue Heron,Hybrid,19%,Myrcene,72%,45%,45%,36%
1688,Afwreck,Hybrid,17%,Myrcene,23%,47%,55%,40%
1689,High Five,Hybrid,19%,Myrcene,0%,0%,0%,100%
1690,Ultra Banana,Indica,22%,Myrcene,50%,0%,0%,0%
1691,Kush-N-Cheese,Hybrid,21%,Caryophyllene,57%,71%,0%,71%
1692,LGBT,Hybrid,28%,Terpinolene,100%,100%,0%,100%
1693,Banana Sorbet,Hybrid,27%,Limonene,0%,0%,0%,0%
1694,Gran Champagne,Hybrid,20%,Myrcene,0%,0%,0%,0%
1695,Midnight Express,Hybrid,17%,Myrcene,0%,100%,0%,100%
1696,BC Sweet Tooth,Indica,24%,Caryophyllene,34%,43%,0%,43%
1697,Blue Buddha,Indica,17%,Myrcene,80%,40%,60%,20%
1698,Grimace OG,Indica,17%,Myrcene,50%,40%,80%,0%
1699,Cookie Puss,Hybrid,19%,Caryophyllene,80%,60%,40%,0%
1700,Morning Glory,Hybrid,19%,Myrcene,44%,55%,0%,44%
1701,T1,Hybrid,17%,Myrcene,0%,0%,0%,0%
1702,Prayer Tower,Hybrid,18%,Caryophyllene,0%,0%,50%,50%
1703,Sorbet #4,Hybrid,26%,Caryophyllene,0%,0%,0%,0%
1704,Chef Kush,Indica,24%,Caryophyllene,100%,100%,0%,0%
1705,Ogre Berry,Indica,20%,Myrcene,66%,88%,0%,66%
1706,Fruit Loop OG,Hybrid,22%,Terpinolene,0%,0%,0%,0%
1707,African Orange Glue,Hybrid,16%,Myrcene,0%,0%,0%,0%
1708,Zelly’s Gift,Sativa,15%,Pinene,48%,77%,55%,74%
1709,The Real McCoy,Hybrid,24%,Myrcene,75%,25%,0%,75%
1710,Jungle Spice,Hybrid,18%,Terpinolene,100%,100%,0%,0%
1711,Gandalf OG,Indica,19%,Caryophyllene,60%,53%,40%,20%
1712,Liquid Butter,Indica,21%,Myrcene,57%,47%,38%,30%
1713,Aceh,Sativa,20%,Caryophyllene,66%,61%,47%,0%
1714,Blackberry Cheesecake,Hybrid,19%,Myrcene,50%,50%,50%,50%
1715,Katsu,Indica,19%,Pinene,67%,42%,46%,0%
1716,Chem Jack,Hybrid,23%,Terpinolene,0%,100%,0%,100%
1717,Blue Dot,Sativa,20%,Myrcene,0%,57%,48%,66%
1718,The Boss,Hybrid,20%,Myrcene,100%,0%,100%,100%
1719,Heavenly OG,Hybrid,15%,Limonene,60%,80%,80%,20%
1720,Purple Happy Rancher,Indica,16%,Myrcene,71%,55%,47%,34%
1721,Cali Jack,Hybrid,21%,Terpinolene,40%,60%,0%,40%
1722,Mountain Temple,Sativa,18%,Pinene,50%,50%,0%,50%
1723,Rosaberry,Hybrid,8%,Myrcene,100%,0%,100%,0%
1724,Black Cherry Punch,Hybrid,18%,Myrcene,50%,50%,0%,50%
1725,Apollo Haze,Hybrid,17%,Limonene,33%,33%,0%,66%
1726,The Void,Hybrid,27%,Caryophyllene,50%,50%,54%,52%
1727,Orange Poison,Hybrid,22%,Terpinolene,60%,20%,0%,40%
1728,Afghan Diesel,Hybrid,14%,Myrcene,28%,43%,59%,40%
1729,Huckleberry Diesel,Hybrid,21%,Limonene,60%,60%,60%,0%
1730,Mystery Jazz,Hybrid,24%,Terpinolene,66%,100%,0%,66%
1731,Blueberry Bomb,Hybrid,16%,Myrcene,66%,0%,0%,33%
1732,Apple Rock Candy,Hybrid,20%,Limonene,100%,100%,100%,100%
1733,Ice Kush,Hybrid,15%,Myrcene,0%,0%,0%,0%
1734,Dutch Crunch,Hybrid,16%,Terpinolene,75%,0%,0%,50%
1735,Florida Lemons,Hybrid,17%,Myrcene,100%,0%,0%,0%
1736,Tardis,Sativa,22%,Myrcene,0%,50%,0%,55%
1737,Mega Jackpot,Hybrid,18%,Myrcene,69%,61%,46%,0%
1738,Kush Cake,Hybrid,24%,Caryophyllene,0%,0%,0%,0%
1739,Pacific Frost,Hybrid,10%,Caryophyllene,0%,50%,50%,50%
1740,B-Witched,Hybrid,20%,Myrcene,60%,30%,50%,50%
1741,Beach Wedding,Hybrid,20%,Myrcene,16%,16%,0%,0%
1742,Gutbuster,Indica,18%,Caryophyllene,54%,0%,45%,0%
1743,Desert Diesel,Hybrid,21%,Myrcene,33%,66%,0%,100%
1744,Caramel Cake,Hybrid,19%,Pinene,100%,100%,50%,50%
1745,AK-OG Kush,Hybrid,21%,Myrcene,100%,100%,0%,0%
1746,Kid N' Kookies,Hybrid,18%,Caryophyllene,85%,85%,71%,0%
1747,Afghanica,Hybrid,13%,Myrcene,69%,61%,76%,53%
1748,Alchemy,Hybrid,24%,Myrcene,70%,60%,40%,0%
